,title,year,length,budget,rating,votes,r1,r2,r3,r4,r5,r6,r7,r8,r9,r10,mpaa,Action,Animation,Comedy,Drama,Documentary,Romance,Short
32707,Matrimony's Speed Limit,1913,14,NA,6.3,19,4.5,0,0,0,14.5,34.5,14.5,34.5,4.5,0,,0,0,1,0,0,0,1
32708,"Matrix Reloaded, The",2003,138,127000000,7.1,57225,4.5,4.5,4.5,4.5,4.5,14.5,14.5,14.5,14.5,14.5,R,1,0,0,0,0,0,0
32709,"Matrix Revolutions, The",2003,125,110000000,6.3,40058,4.5,4.5,4.5,4.5,4.5,14.5,14.5,14.5,4.5,14.5,R,1,0,0,0,0,0,0
32710,"Matrix, The",1999,136,63000000,8.5,143853,4.5,4.5,4.5,4.5,4.5,4.5,4.5,14.5,24.5,34.5,R,1,0,0,0,0,0,0
32711,Matroni et moi,1999,101,NA,6.6,122,4.5,4.5,4.5,4.5,4.5,24.5,24.5,24.5,4.5,4.5,,0,0,1,0,0,0,0
32712,Matroos,1998,16,NA,5.9,47,0,0,0,4.5,14.5,14.5,14.5,14.5,4.5,44.5,,0,0,0,0,0,0,1
32713,Matrubhoomi,2003,99,NA,7,54,4.5,4.5,0,4.5,0,24.5,14.5,14.5,14.5,14.5,,0,0,0,1,0,0,0
32714,"Mattatore, Il",1960,95,NA,7.1,37,0,0,0,0,4.5,14.5,24.5,14.5,14.5,14.5,,0,0,1,0,0,0,0
32715,"Matter of Choice, A",1988,5,NA,8.6,9,0,0,14.5,0,0,0,0,24.5,24.5,44.5,,0,0,0,0,0,0,1
32716,"Matter of Degrees, A",1990,95,NA,3.5,37,24.5,4.5,4.5,4.5,4.5,14.5,4.5,14.5,0,4.5,,0,0,1,0,0,0,0
32717,"Matter of Life and Death, A",1946,104,NA,8.1,2093,4.5,4.5,4.5,4.5,4.5,4.5,4.5,14.5,24.5,44.5,PG,0,0,1,0,0,1,0
32718,"Matter of Time, A",1976,97,NA,3.7,65,24.5,4.5,4.5,14.5,14.5,4.5,4.5,4.5,4.5,4.5,,0,0,0,1,0,1,0
32719,"Matter of Who, A",1961,90,NA,7.3,8,0,0,14.5,14.5,0,14.5,34.5,24.5,0,0,,0,0,1,0,0,0,0
32720,Matto regiert,1947,113,NA,6.9,9,0,0,0,0,0,34.5,24.5,24.5,14.5,14.5,,0,0,0,0,0,0,0
