name,year,length,budget,aggregateRating,totalReviews,mpaa,genre_id
(T)Raumschiff Surprise - Periode 1,2004,87,,5.6,1275,,4
*Corpus Callosum,2002,92,,4.9,36,,8
*batteries not included,1987,106,,5.7,4148,,4
0,1987,7,,9.4,6,,70
-30-,1959,96,,6.3,43,,8
#ME?,1932,77,,5.8,32,,4
...4 ...3 ...2 ...1 ...morte,1967,95,,3.6,67,,0
...All the Marbles,1981,113,,5.6,348,,45
...Almost,1990,84,,5.3,38,,40
...And Justice for All,1979,119,,7,2610,,8
...And Millions Die!,1973,93,,4.4,23,,0
...Because She Disobeyed,1935,104,,6,11,,12
...Belpaese Il,1977,109,,5.2,11,,12
...Comme elle respire,1998,106,,6.1,103,,4
...Is It the Design on the Wrapper?,1997,8,,2.6,14,,64
...Ja teeb trikke,1978,10,,7.9,7,,70
...Lost,2000,5,,6.2,13,,64
...Maybe This Time,1980,96,,5.7,8,,8
...Po prozvishchu Zver,1990,88,,4.7,11,,1
...Quando Troveja,1999,92,,4.6,25,,8
...To Skin a Cat,2004,22,,8.1,11,,68
...a tutte le auto della polizia,1975,90,,6.8,7,,0
...a zase ta Lucie!,1984,82,,5.8,19,,4
...al fin el mar,2005,95,,5,9,,40
...ani smrt nebere,1996,88,,3.6,5,,0
...borgnes sont rois Les,1974,15,,8.3,6,,64
...dopo di che uccide il maschio e lo divora,1971,96,,6.1,5,,8
...e per tetto un cielo di stelle,1968,100,,3.9,19,,0
...e tanta paura,1976,98,,5.8,20,,0
...som havets nakna vind,1968,105,,5.3,21,,40
...tick...tick...tick...,1970,100,,6,145,,9
...und abends in die Scala,1958,94,,5.7,5,,0
...und das ist erst der Anfang,2000,95,,5.9,50,,36
...und die Liebe lacht dazu,1957,97,,6.8,5,,0
...ya no puede caminar.,2001,14,,7.1,35,,64
.com for Murder,2002,96,5000000,3.7,271,,0
00 Schneider - Jagd auf Nihil Baxter,1994,90,,5.9,339,,4
002 agenti segretissimi,1964,83,,3.6,6,,5
002 operazione Luna,1965,90,,4.7,9,,4
6,1994,87,,6.4,238,,40
41795,2004,117,,6.3,165,,8
07 con el 2 delante (Agente: Jaime Bonet),1966,101,,1.8,13,,4
41866,1954,95,,4.6,65,,8
08/15 - In der Heimat,1955,96,,4.2,48,,8
08/15 - Zweiter Teil,1955,110,,3.7,47,,8
1 Giant Leap,2002,155,,6.6,75,,16
1+1=3,1979,85,,7.5,5,,4
1000 Dollars a Minute,1935,70,,6.2,5,,4
199 - Um Supermercado Que Vende Palavras,2003,72,,4.9,28,,20
1-2-3-4 ou Les Collants noirs,1960,125,,7.3,34,,8
1. April 2000,1952,105,,6.9,27,,0
1/2 Mensch,1986,48,,8.1,29,,16
10,1979,122,,5.7,3170,,36
10 Magnificent Killers,1977,84,,2.6,9,,9
10 Rillington Place,1971,111,,7.2,486,,8
10 Seconds,1998,10,,7.3,21,,64
10 Things I Hate About You,1999,97,16000000,6.7,19095,PG-13,36
10 Violent Women,1982,95,,3.8,31,,9
10 from Your Show of Shows,1973,92,,8.6,61,,4
10 jaar leuven kort,2004,240,,7.9,7,,72
10 on Ten,2004,88,,5.9,40,,16
10 pesos,2003,6,,6.1,8,,64
10 to Midnight,1983,101,,5.4,530,,1
10.000 dollari per un massacro,1967,100,,3.6,16,,0
10.7,1997,28,,8.8,5,,64
100 Days,1991,161,,5.8,59,,32
100 Days,2001,100,,6.2,14,,8
100 Girls,2000,90,,5.8,3349,R,36
100 Mile Rule,2002,98,1100000,5.6,181,R,4
100 Pro,2001,88,,5.5,94,,4
100 Proof,1997,94,140000,3.3,19,,8
100 Rifles,1969,110,,5.6,267,,0
100 Years at the Movies,1994,9,,9.2,91,,80
100 minuta slave,2004,100,,5.9,21,,8
1000 Boomerangs,1995,101,,4.6,7,,8
1000 Convicts and a Woman,1971,92,,6.1,10,,8
1000 Rosen,1994,95,,5.1,17,,8
1000 Shapes of a Female,1963,79,,2.2,6,,4
10000th Day The,1997,18,,8,5,,64
1001 Arabian Nights,1959,75,,5.2,59,,2
1001 Erotic Nights 2,1986,79,,7.7,15,,0
1001 Nights,1998,23,,7.3,11,,64
1001 nuits Les,1990,98,,5.1,122,,8
101,1989,117,200000,7.8,299,,16
101 Dalmatians,1996,103,,5.5,5028,,4
101 Rent Boys,2000,78,,6.3,83,,16
101 Ways (The Things a Girl Will Do to Keep Her Volvo),2000,100,,5.5,68,,4
101-vy kilometer,2001,103,200000,5.8,7,,8
101byeonjae propose,1993,112,,5.2,20,,36
102 Dalmatians,2000,100,85000000,4.7,1987,,4
0.423611111,2000,14,,6,6,,64
10:30 P.M. Summer,1966,85,,6.2,42,,8
10e chambre - Instants daudience,2004,105,,7.4,111,,16
11 Harrowhouse,1974,94,,6,177,,4
11 Uhr 59,2000,11,,8.4,5,,64
11 commandements Les,2004,85,,4.7,199,,4
110901 - September 11,2002,134,,6.9,1264,,8
0.465972222,2004,95,,4.3,222,R,0
0.468055556,2003,95,6000000,7.1,605,,12
12 + 1,1969,94,,5.5,51,,4
12 Angry Men,1957,96,340000,8.7,29278,,8
12 B,2001,150,,5.2,6,,8
12 Bucks,1998,86,,5.1,46,,8
12 Hot Women,2003,4,,5.2,24,,68
12 Stops on the Road to Nowhere,1999,18,,7.2,24,,68
12 horas,2001,89,,6.2,39,,12
12 mesyatsev,1956,55,,8.5,14,,2
12 stulev,1971,161,,8.9,252,,4
12 to the Moon,1960,74,150000,2.8,89,,0
120 Tage von Bottrop Die,1997,60,,2.4,52,,4
125 rue Montmartre,1959,85,,5.2,22,,8
0.500694444,1990,25,,7.4,183,,64
0.524305556,2002,92,,8.2,5,,8
13 Dead Men,2003,85,,2.2,69,R,1
13 Fighting Men,1960,69,,4.2,5,,0
13 Frightened Girls,1963,89,,5,34,,0
13 Ghosts,1960,85,,5.6,578,,0
13 Going On 30,2004,98,37000000,6.4,7859,PG-13,44
13 Lakes,2004,135,,9,5,,16
13 Moons,2002,93,,5.6,196,R,4
13 Rue Madeleine,1947,95,,6.8,262,,0
13 West Street,1962,80,,6.3,35,,8
13 kaidan,2003,122,,7.2,23,,0
13. jul,1982,110,,6.4,11,,8
13ta godenitsa na printsa,1987,89,,6.8,54,,0
13th Floor The,1988,88,,4.3,131,,0
13th House The,2003,58,,4.9,12,,0
13th Letter The,1951,85,,6.1,27,,0
13th Man The,1937,70,,5.1,5,,0
13th Sign The,2000,85,,3.9,28,,0
13th Warrior The,1999,102,85000000,6.1,14344,R,1
14 Carrot Rabbit,1952,7,,7.2,66,,70
14 Million Dreams,2003,52,,8.3,7,,24
14 numara,1985,83,,3.6,12,,8
14 The,1973,105,,6.7,7,,0
14/1 endlos,1998,27,,7,5,,64
1492: Conquest of Paradise,1992,154,47000000,6,3379,,8
14e kippetje Het,1998,88,,5.5,118,,44
15,2003,90,,6.4,97,,12
15 Amore,1998,92,,6.5,88,,8
15 Minutes,1999,25,,4.8,19,,68
15 Minutes,2001,120,42000000,6.1,10866,R,8
15 zondergrond,2000,20,,6.4,7,,64
15-Sai: Gakko IV,2000,120,,5.5,13,,8
15.35: spoor 1,2003,74,,5.6,27,,8
16 Days of Glory,1985,145,,7.7,37,,16
41989,2002,158,,7.3,26,,65
16 Fathoms Deep,1948,82,,7.6,6,,0
16/67: 20. September,1967,6,,5.5,6,,64
16060,1995,86,,6.7,30,,8
17 Seconds to Sophie,1998,1,,5.1,7,,80
17 and Under,1998,107,,4.1,13,,8
17 op,1989,75,,4.4,9,,0
17 rue Bleue,2001,95,,5.7,22,,8
1776,1972,180,4000000,7.3,1754,PG,8
1789,1974,150,,5.2,18,,0
17th Man The,2004,23,,7.6,18,,64
18 Again!,1988,93,,4.8,643,,4
18 Shades of Dust,1999,87,,4.5,43,R,8
18 Weapons of Kung Fu,1977,89,,2,21,,9
18 anni tra una settimana,1991,98,,5.9,7,,8
18-j,2004,100,,8.5,26,,24
1860,1934,80,,7,16,,8
1871,1990,100,,4.2,11,,8
187: Documented,1997,58,,3,14,,24
1895,1995,30,,7.8,21,,66
19,2000,82,,7,59,,8
19 Months,2002,77,,5.3,51,R,4
19 djevojaka i Mornar,1971,73,,5.4,5,,0
1900,1976,245,9000000,7.5,2408,,8
1918,1985,94,,5.8,65,,8
1919,1985,99,,5,28,,8
1919,1997,8,,6.2,13,,64
1925 Studio Tour,1925,32,,8.2,26,,80
1939,1989,193,,5.7,62,,8
1941,1941,7,,7.9,5,,64
1941,1979,146,35000000,5.6,5536,,4
1942: A Love Story,1993,157,,6.5,210,,41
1952: Ivan i Aleksandra,1989,80,,7.3,16,,8
1955 Motion Picture Theatre Celebration,1955,18,,4.6,12,,80
1958,1980,96,,5.9,23,,9
1969,1988,95,,5.3,659,,8
1974,2000,8,,4.4,12,,66
1974 une partie de campagne,1974,90,,7.6,22,,16
1984,1956,90,,6.9,304,,8
1990: I guerrieri del Bronx,1982,89,,3.9,181,,1
1991: The Year Punk Broke,1992,99,,6.9,166,,16
1997 - Zapisi Rustema s risunkami,1998,80,,7.9,11,,0
1999,1998,92,,5.3,93,R,8
1999 - Nen no natsu yasumi,1988,90,,6.5,66,,8
1999 Madeleine,1999,86,,5.6,52,,36
2 A.M. in the Subway,1905,1,,5.2,13,,68
2 Birds with 1 Stallone,2002,76,,1.5,30,,8
2 Days in the Valley,1996,104,,6.4,5057,R,8
2 Dyuo,1997,90,,6.5,9,,8
2 Fast 2 Furious,2003,107,76000000,5.1,9556,PG-13,1
2 Gs & a Key,2000,97,,4.4,44,,1
2 Little 2 Late,1999,87,,6.5,18,,12
2 bileta na dnevnoy seans,1966,90,,8.2,5,,0
2 deputati I,1968,95,,6.9,9,,4
2 minutter,2001,8,,6.9,9,,64
2 or 3 Things But Nothing for Sure,1997,12,,7.2,5,,80
2 ou 3 choses que je sais delle,1967,90,,6.7,355,,8
2 ryk og 1 aflevering,2003,96,,5.5,86,,12
2 secondes,1998,100,,6.8,166,,44
2+1,2004,28,,8.2,16,,68
2+5: Missione Hydra,1965,89,,3.3,29,,0
2000 Women,1944,97,,5.9,50,,0
2. juledag,2000,25,,5.5,8,,64
20 Dates,1998,87,60000,5.4,841,R,52
20 Fingers,2004,74,,6.7,52,,8
20 Million Miles to Earth,1957,82,,6.2,523,,0
20 Mule Team,1940,84,,7.1,25,,0
20000 Cheers for the Chain Gang,1933,20,,6.5,16,,68
20000 Leagues Under the Sea,1916,105,200000,6.2,135,,1
20000 Years in Sing Sing,1932,78,,7,274,,8
20-seiki nosutarujia,1997,93,,3.7,14,,0
20. Juli Der,1955,97,,8.6,18,,0
20/20 Vision,1999,20,,1,5,,68
200 American,2003,84,,5.4,62,,32
200 Cigarettes,1999,101,6000000,5.4,4514,R,12
200 Motels,1971,98,679000,5.2,338,,4
2000 Nordestes,2000,70,,7.9,25,,16
2000 Years Later,1969,80,,4.4,12,,4
20000 Leagues Under the Sea,1954,127,5000000,7.1,2741,,8
2001 Yonggary,1999,99,,3.1,241,PG-13,1
2001: A Space Odyssey,1968,156,10500000,8.3,64982,,0
2001: A Space Travesty,2000,99,26000000,2.5,2023,R,4
2002: The Rape of Eden,1994,90,,4,24,,13
2009: Lost Memories,2002,136,,6.6,639,R,9
201 Kanarinia Ta,1964,96,,7.1,6,,0
2010,1984,116,,6.5,7300,,0
2010: The Odyssey Continues,1984,18,,5.8,154,,80
2019 - Dopo la caduta di New York,1983,91,,5.3,176,,1
203 kochi,1980,185,,6.8,24,,8
2046,2004,129,12000000,7.6,2663,R,40
2069 A.D.,1969,75,,5.3,8,,0
2084,1984,10,,6.4,10,,80
0.85462963,2004,113,,7.1,177,,44
20h17 rue Darling,2003,101,,6.3,75,,8
21,2000,105,,6,25,,44
21 Grams,2003,124,20000000,8,21857,R,8
21-87,1964,10,,6.1,13,,64
2103: The Deadly Wake,1997,100,,3.8,78,,0
21st Century Jet: The Building of the 777,1996,285,,7.6,7,,16
22 June 1897,1979,121,,6,11,,8
23,1998,100,,7.2,1246,,8
23 -- Skidoo,1930,10,,4.8,15,,68
23 Paces to Baker Street,1956,103,,7,179,,0
237,2000,12,,4.3,7,,64
0.998611111,1993,84,,7,8,,0
23rd March 1931: Shaheed,2002,188,,6.3,25,,0
24,2002,91,,7.4,75,,8
24 7: Twenty Four Seven,1997,96,,6.7,504,R,12
24 Hour Party People,2002,117,,7.2,3603,R,12
24 Hour Woman The,1999,93,2500000,5.6,149,R,4
24 Hours,1931,66,,7,11,,0
24 Hours in London,2000,90,,3.8,242,R,0
24 Nights,1999,97,,6.3,81,,4
24 chasa,2000,86,,6,39,,8
24 heures de la vie dune femme,2002,107,,5.6,74,,8
24 heures ou plus...,1977,114,,7.6,9,,0
24 horas de placer,1969,95,,8.1,7,,4
24-Seven,1999,8,,5.9,22,,68
24/24,2001,11,,4.8,9,,64
24fps,2000,6,,4.8,16,,64
24th Day The,2004,92,,6.4,502,R,0
25 Kids and a Dad,2002,90,,6.2,8,,0
25 Watts,2001,92,200000,7,275,,12
25 Ways to Quit Smoking,1989,5,,7.2,114,,70
25th Hour,2002,135,15000000,7.8,15788,R,8
26 Summer Street,1996,17,,4.7,20,,64
27 Down,1974,118,,8.9,7,,0
27 Missing Kisses,2000,98,,6.6,291,,44
27 horas,1986,81,,5.2,38,,0
27A,1974,86,,5,8,,8
27th Day The,1957,75,,5.9,84,,0
28 Days,2000,103,43000000,6,7465,PG-13,8
28 Days Later...,2002,113,8000000,7.3,24174,R,0
28 minuti per 3 milioni di dollari,1967,90,,3.9,6,,0
28 oktovriou ora 5:30,1971,90,,6.2,5,,8
29 Palms,2002,93,,4.7,406,R,12
29th Street,1991,101,,6.9,436,,4
2BPerfectlyHonest,2004,88,,7.3,17,R,12
2LDK,2002,70,,7.3,381,,0
2by4,1998,90,,6.4,44,,8
2wks 1yr,2002,104,,9.4,5,,0
3,1971,86,,6,14,,8
3 A.M.,1976,72,,6.9,15,,0
3 A.M.,2001,88,,5.9,243,,0
0.125,2003,22,32000,4.8,11,,64
3 Bad Men,1926,122,,5.6,64,,0
3 Chinesen mit dem Kontrabass,2000,88,,6.5,120,,4
3 Days of Rain,2002,98,,5.8,20,,8
3 Dumb Clucks,1937,17,,7.1,80,,68
3 Feet Under: Digging Deep for the Geoduck,2003,63,,7,15,,16
3 Godfathers,1948,106,,6.9,779,,8
3 Little Ninjas and the Lost Treasure,1990,100,,2.2,51,,0
3 Men and a Little Lady,1990,104,,4.5,3066,,4
3 Minute Wonder,2000,3,,4.3,6,,64
3 Misses,1998,11,,7.2,23,,70
3 Ninjas,1992,98,,4,1392,,5
3 Ninjas Kick Back,1994,93,,3.5,565,,5
3 Ninjas Knuckle Up,1995,85,,2.9,324,PG-13,5
3 Ninjas: High Noon at Mega Mountain,1998,93,,2.2,744,PG,5
3 Nuts in Search of a Bolt,1964,78,,5.2,16,,4
3 Ring Circus,1954,103,,5.6,99,,4
3 Ring Wing-Ding,1968,6,,6.3,9,,70
3 Strikes,2000,82,6000000,3.7,305,,4
3 Tage 44,2000,21,,5,6,,64
3 Weeks After Paradise,2002,51,,7,5,,0
3 Women,1977,124,1500000,7.7,912,,8
3 Worlds of Gulliver The,1960,100,,6,215,,2
3 dev adam,1973,81,,5.2,36,,1
3 hommes et un couffin,1985,106,,6.6,537,,4
3 noches,2001,105,,6.4,9,,0
3-4x juugatsu,1990,96,,6.6,761,,5
3-Way,2004,88,,4.6,177,R,8
30 Days,1999,87,,4.2,31,,36
30 Foot Bride of Candy Rock The,1959,75,,4.6,102,,4
30 Frames a Second: The WTO in Seattle,2000,73,,5.4,7,,16
30 Is a Dangerous Age Cynthia,1968,85,,4.8,32,,36
30 Winchester per El Diablo,1965,95,,3.4,7,,0
30 Years of Fun,1963,85,,6.7,15,,4
30 Years to Life,2001,110,,5.1,42,R,44
30 ans,2000,105,,5.8,14,,0
30 panen a Pythagoras,1977,68,,2.5,8,,4
30 Still Single: Contemplating Suicide,1998,91,,7.1,26,,4
300 Spartans The,1962,114,,6.4,548,,8
3000 Miles to Graceland,2001,125,62000000,5.4,7298,R,5
301 302,1995,100,,6.8,275,,0
30:e november,1995,116,,3.9,193,,8
31,2003,27,,2.8,5,,64
317e section La,1965,86,,8,73,,0
322,1969,95,,6,9,,8
34-y skoryy,1981,83,,7.3,8,,1
35 Aside,1995,27,,6.6,40,,68
35 Miles from Normal,1997,99,,6.6,21,,8
36 Chowringhee Lane,1981,122,,7.7,41,,0
36 Deadly Styles The,1980,92,,5.1,13,,0
36 Hours,1953,80,,5.7,8,,8
36 Hours,1965,115,,7.3,373,,0
36 fillette,1988,88,,6,232,,40
36 ore allinferno,1969,93,,3.7,7,,1
365 Nights in Hollywood,1934,77,,5.8,17,,4
36K,2000,83,,7.8,12,,0
37 og et halvt,2005,101,,5.6,27,,12
39 Pounds of Love,2005,70,,7.6,7,,16
39 Steps The,1935,86,,8,7931,,8
39 Steps The,1959,93,,6.6,223,,8
3:10 to Yuma,1957,92,,7.7,526,,0
0.135416667,1986,86,,4.5,94,,9
3:am,2005,21,,8.8,9,,64
3D,2000,24,,6,5,,64
3azima,2003,5,,5,6,,72
3groschenoper Die,1931,112,,6.9,147,,0
3rd Voice The,1960,79,,7.3,20,,8
4,2004,126,,6.3,30,,8
4 Artists Paint 1 Tree: A Walt Disney Adventure in Art,1964,16,,6.9,10,,80
4 Clowns,1970,97,,7.9,35,,4
4 Devils,1928,97,,8.7,9,,8
4 Freunde und 4 Pfoten,2003,76,,5.1,11,,0
4 Inyong shiktak,2003,123,,5.7,156,,8
4 Little Girls,1997,102,,7.5,463,,16
4 P.M.,2000,15,,5.5,21,,72
4 Second Delay,1998,26,,6.1,12,,72
4 a.m.: Open All Night,1999,15,,6,17,,64
4 aventures de Reinette et Mirabelle,1987,99,,7.6,167,,12
4 for Texas,1963,124,,5.3,399,,4
4 maneras de tapar un hoyo,1995,8,,8.2,12,,66
4 marmittoni alle grandi manovre,1974,90,,3.7,6,,4
4 mosche di velluto grigio,1971,104,,6.3,251,,0
4 saisons dEspigoule Les,1999,97,,6.5,65,,20
4 x 4,1965,105,,5.6,8,,8
40,2002,12,,5.7,12,,64
40 Carats,1973,110,,6,104,,4
40 Days and 40 Nights,2002,96,17000000,5.4,8609,R,44
40 Days of Musa Dagh,1982,143,,7.5,16,,8
40 Guns to Apache Pass,1967,95,,5.8,60,,32
40 Pounds of Trouble,1962,106,,6.3,126,,4
40 Quadratmeter Deutschland,1986,80,,7.3,15,,8
40 gradi allombra del lenzuolo,1976,100,,4.7,34,,4
40 grados a la sombra,1967,90,,5.5,6,,4
40000 Horsemen,1941,100,,6.9,20,,0
400 Million The,1939,52,,5,10,,16
405,2000,11,,6.9,250,,69
420,2004,116,,8.3,6,,4
42K,2000,90,,5.1,25,,5
42nd Street,1933,89,439000,7.5,1247,,40
42nd. Street Special The,1933,6,,6.2,11,,80
43: The Richard Petty Story,1974,83,,6.4,18,,8
47 morto che parla,1950,95,,7.6,21,,4
48 Hrs.,1982,96,,6.8,8742,,13
48 Stunden bis Acapulco,1967,81,,4.3,5,,0
491,1964,88,,6.2,38,,8
49th Man The,1953,73,,6.2,17,,8
49th Parallel,1941,104,,7.7,395,,8
4D Man,1959,85,,5.2,192,,33
4th Floor The,1999,90,,5.7,1088,R,0
4th Tenor The,2002,97,,4.2,71,PG-13,36
5 Against the House,1955,84,,6.2,49,,8
5 Branded Women,1960,118,,5.2,53,,8
5 Card Stud,1968,105,,6.2,457,,0
5 Card Stud,2002,96,,8.3,7,,32
5 Dark Souls,1996,94,1500,7.3,11,,1
5 Dead on the Crimson Canvas,1996,96,25000,2,24,,0
5 Fingers,1952,108,,7.6,392,,8
5 Millionen suchen einen Erben,1938,85,,6.5,22,,4
5 Steps to Danger,1957,81,,5.6,24,,8
5 bambole per la luna dagosto,1970,90,,5.5,145,,0
5 de chocolate y 1 de fresa,1968,85,,4.3,12,,4
5 donne per lassassino,1974,95,,3.7,7,,0
5 i fedtefadet De,1970,90,,5.4,21,,0
5 og spionerne De,1969,81,,4.6,18,,0
5 tombe per un medium,1965,85,,4.8,34,,0
5000 Fingers of Dr. T. The,1953,89,1600000,6.7,699,,0
50 First Dates,2004,99,75000000,6.8,13497,PG-13,36
50 Ways to Leave Your Lover,2004,95,,6.8,22,,36
50000 B.C. (Before Clothing),1963,75,,3.4,15,,4
50/50,1982,87,,4,7,,8
500 Years Later,2005,106,,9.3,17,,16
500!,2001,92,,6.4,14,,4
50CC,2000,41,,5.9,7,,97
51 Bar,1985,95,,8.7,5,,8
51st State The,2001,92,28000000,6.1,6752,R,5
52 Pick-Up,1986,110,,5.9,609,,1
52nd Street,1937,80,,7,5,,8
54,1998,100,13000000,5.4,6905,R,8
55 Days at Peking,1963,150,17000000,6.6,700,,8
588 rue paradis,1993,130,,7.9,56,,0
5th Ave Girl,1939,83,,6.6,112,,4
5th World,2005,75,,5.2,11,,8
5x2,2004,90,,6.6,691,R,40
6 Day Bike Rider,1934,69,,6.7,107,,4
6 Miles of 8 Feet,1999,22,,7.9,8,,64
6 Points,2004,85,,4.3,56,,8
6 dni strusia,2001,100,,5.1,9,,0
6.5 Special,1958,85,,4,6,,0
6000 Enemies,1939,62,,6.5,11,,0
633 Squadron,1964,103,,6.2,367,,8
64000000 Years Ago,1981,11,,6.7,7,,66
65 66 och jag,1936,89,,5.3,21,,4
66 scener fra Amerika,1982,43,,5.3,13,,80
666 mo gui fu huo,1996,100,,5.3,54,,1
681-0638,2001,90,,7.1,7,,12
69,1968,5,,5.1,5,,64
69 - Sixtynine,1969,98,,5.8,5,,8
69 Park Avenue,1985,90,,6.1,5,,0
6ix,1999,11,,5.5,30,,68
6th Day The,2000,123,82000000,5.9,12064,PG-13,1
7 Days In September,2002,94,,7.9,33,,16
7 Faces of Dr. Lao,1964,100,,6.9,646,,0
7 Lucky Ninja Kids,1989,90,,4.8,19,,5
7 Star Grand Mantis,1983,85,,3.1,7,,5
7 Wise Dwarfs,1941,4,,6,35,,66
7 Women,1966,87,,6.2,225,,8
7 Year Zig Zag,2003,90,,6,6,,8
7 Zwerge,2004,95,,5,439,,4
7 ans de mariage,2003,97,,6.3,148,,4
7 fois... par jour,1971,98,,3.4,16,,4
7 jin gong,1994,90,,5.4,67,,1
7 pra-jan-barn,2002,110,,4.8,15,,5
7 Hyden Park: la casa maledetta,1985,96,,4.7,16,,8
71 Fragmente einer Chronologie des Zufalls,1994,95,,6.6,176,,8
711 Ocean Drive,1950,102,,7,48,,8
72 Desperate Rebels,1972,93,,3.3,8,,9
72 Faced Liar,2003,15,,7,6,,64
72 metra,2004,100,1600000,6,147,,9
7337,2000,17,,3.9,28,,64
76-89-03,2000,85,,6.6,75,,4
78 Tours,1985,4,,7.9,10,,66
79 primaveras,1969,25,,6.2,5,,80
7th Cavalry,1956,75,,6.3,84,,0
7th Dawn The,1964,123,,5.3,64,,8
7th Street,2003,72,,7,42,,16
7th Voyage of Sinbad The,1958,88,650000,6.9,1224,,1
8 Ball Bunny,1950,7,,7.4,90,,70
8 Heads in a Duffel Bag,1997,94,,4.8,2076,R,4
8 Mile,2002,110,41000000,6.8,17900,R,8
8 Million Ways to Die,1986,115,,4.9,642,,1
8 Seconds,1994,105,,5.9,747,,8
8 femmes,2002,111,,7.1,5503,R,4
8 to 4,1981,77,,5.8,32,,4
8-A,1993,84,,6.9,14,,0
80 Steps to Jonah,1969,107,,5.1,57,,8
80s Ending,2003,9,10000,8.3,15,,68
80000 Suspects,1963,113,,5.5,35,,8
800 Fantasy Lane,1979,82,,5.1,30,,0
800 Two Lap Runners,1994,110,,4.7,13,,0
800 balas,2002,124,,6.5,404,R,4
84 Charing Cross Road,1987,100,,7.3,1172,,40
84C MoPic,1989,95,,6.9,284,,0
88 Antop Hill,2003,119,,4.1,8,,0
89 mm od Europy,1994,12,,7.8,12,,80
8MM,1999,123,40000000,5.9,18541,R,0
8cht,1997,7,,3.7,11,,64
9 Mornings,2002,100,,6.2,9,,32
9 Songs,2004,71,,5.2,464,,40
9 Souls,2003,120,,7.5,100,,8
9 dney odnogo goda,1961,120,,7.8,39,,8
20362,1977,101,,6.7,56,,8
9/64: O Tannenbaum,1964,3,,8.2,6,,64
90,2005,14,4000,9.1,10,,64
90 Day Wondering,1956,6,,7.1,13,,66
90 Days,1985,100,,5.8,17,,0
90 Miles,2001,75,,7.4,5,,16
900 Women,2001,72,,5.1,8,,16
901: After 45 Years of Working,1990,29,,7.1,8,,80
91:an Karlsson muckar (tror han),1959,90,,4.5,6,,4
91:an Karlssons bravader,1951,88,,3.6,7,,4
91:an och generalernas fnatt,1977,101,,2.3,14,,4
92 hak mooi gwai dui hak mooi gwai,1992,100,,5.9,32,,37
92 in the Shade,1975,93,,5.9,56,,12
9413,1998,90,,6.3,12,,1
964 Pinocchio,1991,93,,5.7,82,,0
97 ga yau choi si,1997,90,,4.7,59,,4
976-EVIL,1989,100,,3.6,495,,0
976-EVIL 2: The Astral Factor,1991,93,,2.9,162,,0
976-WISH,1997,42,,1.8,17,,100
99 Euro Films,2002,79,,6.1,53,,8
99 River Street,1953,83,,7,102,,8
99 Threadwaxing,1998,13,,4,7,,72
99 mujeres,1969,108,,5.6,62,,9
99.9,1997,106,,6.3,78,,0
